order_id,supplier_id,warehouse_id,product_id,quantity,unit_cost,total_cost,order_date,expected_delivery,order_status,priority,,,,0
PO000001,SUP0207,WH013,PRD0103,623,17624.27,10979920.21,08-04-2022,03-05-2022,Delivered,High,,,,
PO000002,SUP0197,WH017,PRD0351,727,24198.3,17592164.1,20-02-2024,25-03-2024,Delivered,Critical,,,,
PO000003,SUP0111,WH012,PRD0422,407,30370.72,12360883.04,05-04-2024,12-05-2024,Cancelled,Medium,,,,
PO000004,SUP0291,WH011,PRD0043,979,16013.58,15677294.82,22-09-2024,27-09-2024,In Transit,High,,,,
PO000005,SUP0207,WH002,PRD0138,581,40236.47,23377389.07,07-07-2022,27-07-2022,Pending,Low,,,,
PO000006,SUP0237,WH017,PRD0461,212,38766.03,8218398.36,02-08-2024,26-08-2024,Delivered,Medium,,,,
PO000007,SUP0083,WH015,PRD0305,957,38920.15,37246583.55,22-09-2022,03-10-2022,Delivered,Low,,,,
PO000008,SUP0012,WH006,PRD0243,710,48713.55,34586620.5,14-02-2023,23-03-2023,Delivered,Medium,,,,
PO000009,SUP0159,WH020,PRD0003,400,49630.04,19852016,17-03-2023,02-04-2023,Delivered,Low,,,,
PO000010,SUP0109,WH015,PRD0132,568,33738.61,19163530.48,12-03-2023,29-03-2023,Delivered,Medium,,,,
PO000011,SUP0078,WH020,PRD0482,428,2967.41,1270051.48,04-02-2022,01-03-2022,Delivered,Medium,,,,
PO000012,SUP0091,WH014,PRD0075,956,10410.32,9952265.92,11-09-2022,16-10-2022,Delivered,High,,,,
PO000013,SUP0061,WH012,PRD0096,704,4849.67,3414167.68,10-09-2022,28-09-2022,Pending,Low,,,,
PO000014,SUP0173,WH007,PRD0194,418,29488.61,12326238.98,13-07-2023,03-08-2023,Delivered,Low,,,,
PO000015,SUP0093,WH002,PRD0473,391,24239.63,9477695.33,25-07-2024,22-08-2024,Delivered,High,,,,
PO000016,SUP0116,WH010,PRD0055,905,40050.61,36245802.05,11-12-2024,04-01-2025,Cancelled,Medium,,,,
PO000017,SUP0197,WH010,PRD0225,779,46824.44,36476238.76,14-08-2022,28-08-2022,Delivered,High,,,,
PO000018,SUP0165,WH016,PRD0274,140,45639.98,6389597.2,10-07-2023,08-08-2023,Cancelled,Medium,,,,
PO000019,SUP0145,WH013,PRD0348,704,46338.66,32622416.64,22-10-2024,04-11-2024,Delivered,Critical,,,,
PO000020,SUP0173,WH007,PRD0177,14,1562.24,21871.36,23-06-2024,01-07-2024,Delivered,Medium,,,,
PO000021,SUP0134,WH014,PRD0381,780,25306.5,19739070,14-04-2024,09-05-2024,Cancelled,Critical,,,,
PO000022,SUP0002,WH004,PRD0257,554,1100.61,609737.94,17-01-2022,08-02-2022,Cancelled,Medium,,,,
PO000023,SUP0262,WH015,PRD0478,220,364,80080,28-12-2023,01-02-2024,In Transit,High,,,,
PO000024,SUP0103,WH001,PRD0054,835,42291.34,35313268.9,19-02-2023,27-02-2023,Delivered,Critical,,,,
PO000025,SUP0154,WH012,PRD0498,580,15854.96,9195876.8,19-12-2024,16-01-2025,Delivered,Medium,,,,
PO000026,SUP0052,WH013,PRD0205,818,18829.84,15402809.12,15-05-2022,17-06-2022,Delivered,Medium,,,,
PO000027,SUP0229,WH013,PRD0215,585,7764.14,4542021.9,12-03-2024,19-03-2024,Delivered,High,,,,
PO000028,SUP0238,WH019,PRD0433,921,18003.9,16581591.9,06-07-2024,09-08-2024,Pending,Critical,,,,
PO000029,SUP0087,WH003,PRD0273,255,6484.41,1653524.55,01-09-2023,28-09-2023,Delivered,Critical,,,,
PO000030,SUP0037,WH011,PRD0336,761,20231.64,15396278.04,22-10-2022,19-11-2022,Delivered,Low,,,,
PO000031,SUP0299,WH011,PRD0212,277,48722.48,13496126.96,19-03-2022,13-04-2022,In Transit,Low,,,,
PO000032,SUP0025,WH011,PRD0262,245,49971.53,12243024.85,06-05-2024,02-06-2024,Delivered,Critical,,,,
PO000033,SUP0118,WH007,PRD0060,506,7100.8,3593004.8,09-05-2022,17-06-2022,Delivered,Low,,,,
PO000034,SUP0287,WH007,PRD0398,582,942.86,548744.52,12-12-2022,11-01-2023,Pending,Low,,,,
