shipment_id,order_id,carrier,transport_mode,shipment_date,expected_delivery,actual_delivery,delay_days,shipment_status,weight_kg,shipment_cost,,,10046
SHP000001,PO000001,TCI Express,Rail,08-04-2022,03-05-2022,11-05-2022,8,Delivered,4181.63,18341.66,,,
SHP000002,PO000002,Shadowfax,Road,20-02-2024,25-03-2024,26-03-2024,1,Delivered,257.61,2240.26,,,
SHP000003,PO000003,Ecom Express,Air,05-04-2024,12-05-2024,Not Delivered,0,Cancelled,2878.46,139010.39,,,
SHP000004,PO000004,Shadowfax,Road,22-09-2024,27-09-2024,30-09-2024,3,In Transit,4348.15,31414.97,,,
SHP000005,PO000005,BlueDart,Air,07-07-2022,27-07-2022,Not Delivered,0,Not Shipped,693.95,29283.46,,,
SHP000006,PO000006,DTDC,Rail,02-08-2024,26-08-2024,02-09-2024,7,Delivered,389.78,2072.06,,,
SHP000007,PO000007,Safexpress,Road,22-09-2022,03-10-2022,11-10-2022,8,Delivered,2886.47,24329.97,,,
SHP000008,PO000008,XpressBees,Road,14-02-2023,23-03-2023,06-04-2023,14,Delivered,3811.94,33892.86,,,
SHP000009,PO000009,FedEx India,Sea,17-03-2023,02-04-2023,04-04-2023,2,Delivered,602.91,1504.11,,,
SHP000010,PO000010,Rivigo,Road,12-03-2023,29-03-2023,03-04-2023,5,Delivered,786.22,6580.13,,,
SHP000011,PO000011,Safexpress,Rail,04-02-2022,01-03-2022,04-03-2022,3,Delivered,4366.43,22361.39,,,
SHP000012,PO000012,Delhivery,Rail,11-09-2022,16-10-2022,31-10-2022,15,Delivered,4778.53,24236.83,,,
SHP000013,PO000013,Rivigo,Road,10-09-2022,28-09-2022,Not Delivered,0,Not Shipped,3065.88,26368.34,,,
SHP000014,PO000014,Rivigo,Road,13-07-2023,03-08-2023,07-08-2023,4,Delivered,3780.3,33788.78,,,
SHP000015,PO000015,XpressBees,Sea,25-07-2024,22-08-2024,01-09-2024,10,Delivered,1627.24,4278.28,,,
SHP000016,PO000016,Rivigo,Road,11-12-2024,04-01-2025,Not Delivered,0,Cancelled,379.59,3368.7,,,
SHP000017,PO000017,BlueDart,Sea,14-08-2022,28-08-2022,08-09-2022,11,Delivered,1705.82,4897.95,,,
SHP000018,PO000018,Rivigo,Road,10-07-2023,08-08-2023,Not Delivered,0,Cancelled,2915.14,24033.09,,,
SHP000019,PO000019,Rivigo,Road,22-10-2024,04-11-2024,12-11-2024,8,Delivered,1695.11,14579.26,,,
SHP000020,PO000020,Rivigo,Air,23-06-2024,01-07-2024,14-07-2024,13,Delivered,2921.24,149935.5,,,
SHP000021,PO000021,Delhivery,Road,14-04-2024,09-05-2024,Not Delivered,0,Cancelled,2514.48,20727,,,
SHP000022,PO000022,Safexpress,Rail,17-01-2022,08-02-2022,Not Delivered,0,Cancelled,200.48,849.39,,,
SHP000023,PO000023,TCI Express,Road,28-12-2023,01-02-2024,01-02-2024,0,In Transit,4873.82,34976.3,,,
SHP000024,PO000024,Delhivery,Air,19-02-2023,27-02-2023,24-02-2023,0,Delivered,3698.7,146248.5,,,
SHP000025,PO000025,BlueDart,Air,19-12-2024,16-01-2025,30-01-2025,14,Delivered,4410.48,160424.78,,,
SHP000026,PO000026,Safexpress,Road,15-05-2022,17-06-2022,19-06-2022,2,Delivered,4921.9,38873.71,,,
SHP000027,PO000027,TCI Express,Rail,12-03-2024,19-03-2024,31-03-2024,12,Delivered,834.64,4488.8,,,
SHP000028,PO000028,Safexpress,Road,06-07-2024,09-08-2024,Not Delivered,0,Not Shipped,3023.78,22853.33,,,
SHP000029,PO000029,FedEx India,Road,01-09-2023,28-09-2023,25-09-2023,0,Delivered,2810.98,18537.7,,,
SHP000030,PO000030,BlueDart,Road,22-10-2022,19-11-2022,03-12-2022,14,Delivered,3646.98,32917.43,,,
SHP000031,PO000031,BlueDart,Road,19-03-2022,13-04-2022,25-04-2022,12,In Transit,970.17,8586.68,,,
SHP000032,PO000032,TCI Express,Road,06-05-2024,02-06-2024,14-06-2024,12,Delivered,1610.78,15078.47,,,
SHP000033,PO000033,FedEx India,Road,09-05-2022,17-06-2022,23-06-2022,6,Delivered,1861.98,15912.11,,,
SHP000034,PO000034,TCI Express,Road,12-12-2022,11-01-2023,Not Delivered,0,Not Shipped,1284.01,12281.54,,,
SHP000035,PO000035,DTDC,Road,03-09-2022,29-09-2022,Not Delivered,0,Not Shipped,1558.38,14834.93,,,
SHP000036,PO000036,FedEx India,Road,20-04-2024,22-05-2024,Not Delivered,0,Not Shipped,1245.03,9307.81,,,
SHP000037,PO000037,Delhivery,Air,07-07-2024,02-08-2024,03-08-2024,1,Delivered,1839.42,83832.88,,,
SHP000038,PO000038,Shadowfax,Rail,01-12-2024,03-01-2025,01-01-2025,0,In Transit,246.56,991.06,,,
SHP000039,PO000039,BlueDart,Road,27-02-2024,09-03-2024,06-03-2024,0,Delivered,2562.65,23448.94,,,
SHP000040,PO000040,FedEx India,Sea,13-10-2022,19-10-2022,31-10-2022,12,Delivered,76.84,270.15,,,
SHP000041,PO000041,FedEx India,Road,10-05-2024,19-05-2024,19-05-2024,0,In Transit,740.81,6888.66,,,
SHP000042,PO000042,XpressBees,Road,11-11-2024,07-12-2024,Not Delivered,0,Cancelled,4791.52,32665.73,,,
